keyword,betweenness_co,betweenness_vote_count,betweenness_vote_average,betweenness_revenue
battle,48656.39285714276,39889.166666666664,35502.48185425684,51476.25
kidnapping,47506.058741258705,109525.5023809524,62610.481349206275,58688.049999999996
anthropomorphism,47144.97180683271,110207.63699221316,22057.87209634895,62022.97032554646
aggressive,46779.16029248523,57205.511904761894,64838.207972583,38633.36904761905
gangster,46569.67976190472,46603.166666666664,28708.136904761934,45636.25
scientist,46462.683766233706,109758.5818181818,39780.74368686869,74070.91515151515
dog,45722.05357142858,23888.033333333333,34666.9215982547,36097.03333333333
college,44994.96666666667,34173.16666666667,8405.083333333336,55323.83333333333
talk,44289.0,13879.0,0.0,44305.0
india,44130.35,37226.833333333336,7989.416666666672,39402.5
action hero,43399.809498834504,29185.685714285726,8634.53224918357,47832.38333333334
religion,43176.64325396839,17859.333333333336,45484.536904761895,43536.83333333333
usa,42950.43816738816,41172.73333333332,39527.24841269842,47883.96666666665
fight,42696.0182900433,28958.433333333345,45440.13129637821,51225.06666666667
torture,42471.44087301586,32770.066666666666,44381.828246753306,36426.259523809524
anxious,41086.87088744478,53778.23333333334,48986.90476190476,34435.5
creature,38897.10674603176,105675.53333333334,15940.198626373625,53624.283333333326
1980s,38702.46432178934,75948.16666666667,74019.02619047622,49402.74999999999
wedding,38223.03333333332,6308.199999999999,14304.049999999997,34630.66666666667
animals,38197.48333333334,17088.25,14941.838095238092,42947.66666666667
father son relationship,38165.09974747451,7223.119607843137,40103.61267237666,36657.6862745098
adult animation,38077.75753968253,12025.833333333332,71470.9678571428,34425.333333333336
1940s,37995.19761904745,76545.08333333331,32993.35757575756,58791.950000000026
mexico,37972.03571428572,60615.66666666662,20173.5,39165.83333333333
bold,37940.28742821506,81970.45084586467,88129.09682925005,60096.62882205515
period drama,37097.985714285714,6241.500000000001,23773.314285714292,40793.33333333333
hilarious,36856.12857142855,59875.33333333331,48421.71762398817,44027.25
brutality,36565.51785714287,46433.41666666666,77697.78014018146,46826.80952380953
giant monster,36108.36904761905,12626.049999999988,13568.099999999991,36295.03333333331
space,35684.37225829726,86310.69848484846,15371.124819624813,34793.01515151515
whimsical,35351.70250531633,39642.964536340856,38378.56644924445,49412.8942982456
based on manga,35238.50440115441,8619.416666666666,61421.282142857184,29354.85
post-apocalyptic future,34081.24687955413,45815.762121212116,6789.205465313739,31014.395454545447
train,33612.73333333332,16440.0,7776.666666666667,38639.0
neo-noir,33153.90396825399,53407.840476190475,57642.868154068055,36664.119047619046
rape,32728.499278499272,16834.333333333332,38320.9265873016,23892.0
playful,32666.449603174617,23517.004761904762,59808.66802455427,39524.8261904762
based on children's book,32617.99682539682,7718.0,16391.024242424235,37905.416666666664
future,32557.968650793646,61989.78333333332,20420.098160173147,35570.36666666666
pirate,31896.792857142857,2096.833333333334,1482.7500000000005,32109.500000000004
prison,31837.83809523812,11172.916666666666,18882.933333333334,21567.333333333332
zombie,31760.05238095238,24817.399999999998,11594.527380952388,25357.5
terrorism,31023.573015873022,13505.583333333332,12936.099999999993,27574.166666666668
hopeful,30988.014776889784,173800.85751633983,72088.10500659481,34668.00555555556
absurd,30751.037698412772,29300.26666666667,27796.15494864614,33420.11666666667
bullying,30501.705952380966,12168.099999999999,36077.839880952386,45179.40833333333
vibrant,30298.242584681408,31285.412155388472,30061.273743419482,35345.02286967419
hospital,29372.997619047615,19816.25,44521.311904761904,31618.416666666664
tragic,28964.095670995663,18104.484103641465,57579.25558483745,31169.78214285714
sword fight,28816.714718614712,16441.666666666657,13527.783549783546,20590.01515151515
fairy tale,28573.216666666667,18541.516666666666,7606.312698412702,36532.066666666666
small town,28359.310714285726,26623.500000000004,22901.858333333344,21863.500000000004
psychopath,28331.21190476191,19413.75238095238,24074.208333333358,21203.733333333337
hollywood,28326.38571428571,10036.93333333333,2969.7333333333336,32806.33333333333
1930s,28121.19285714285,22578.333333333332,29054.28333333335,28000.333333333332
treasure hunt,27697.678679653687,6742.633333333333,1270.7626373626372,27369.3
bank robbery,27578.48809523809,11298.916666666666,3205.9999999999995,27425.916666666668
slovakia,27525.916666666668,16619.0,2.4,27074.5
haunted house,27439.945238095235,22066.2,1611.6833333333336,33102.4
child abuse,27250.645296370312,17287.47142857143,17192.408008658003,27914.58809523809
shark,26080.855952380956,16010.666666666668,2903.3999999999996,25634.16666666667
dreams,25925.50355755357,23084.25,69815.24727951776,13085.066666666666
school,25845.534271284265,113838.08484848484,71777.48383838372,31178.98181818182
adoring,25558.35342019093,11937.128571428568,39614.734950226884,22199.362301587298
friends,25262.145238095232,18789.366666666665,24129.23333333332,20339.499999999996
holiday,25209.778571428564,17269.133333333335,16052.133333333324,32562.133333333342
fbi,25186.280952380952,22848.916666666664,22573.249999999993,39035.24999999999
daughter,25170.666666666668,7146.833333333334,43351.9011904762,25715.833333333336
soldier,25155.730158730166,21459.16666666667,30501.8666666667,19387.33333333333
sweden,25027.033333333336,35266.333333333336,385.9333333333333,32825.5
airplane,24800.89285714284,24423.86666666667,24645.16904761908,26003.499999999996
gay theme,24790.9206931957,16911.499999999996,50136.23928571422,17650.583333333336
secret identity,24250.814520202024,75936.41428571429,17707.20223110222,29189.28571428571
ancient greece,24209.174242424233,15342.66666666666,660.378787878788,26810.348484848484
casino,23598.92063492064,237.16666666666666,1459.3611111111113,19742.666666666668
grief,23591.904761904767,6133.033333333334,19020.842857142863,21372.53333333333
heist,23468.78333333333,77570.83333333333,25455.219696969703,28172.0
assassin,23324.9054945055,68356.61666666668,29209.92965367965,25979.716666666674
space travel,23253.221825396828,16309.06666666666,12585.416269841242,23297.91666666666
concert,22996.92857142858,11801.166666666666,14281.041666666673,22435.499999999996
car race,22960.95,5736.083333333335,2223.233333333336,18968.5
relationship,22925.342857142856,10753.75,7872.511904761905,10951.583333333334
florida,22810.363827838824,14411.966666666665,4240.450000000001,25181.03333333333
space opera,22715.045238095234,22175.333333333332,6995.118406593404,27530.166666666668
desert,22689.12857142857,27127.0,16916.48758741258,35858.16666666667
boxing,22636.321031746033,189.29999999999995,1048.5801587301582,22662.41666666667
dinosaur,22323.95952380952,29529.5,1346.6666666666665,27575.83333333333
alaska,22236.533333333333,16986.0,1585.5,20735.5
museum,22227.61666666666,11152.75,1305.9166666666665,27702.75
shootout,22207.975000000064,30209.649999999994,9387.13719336219,21484.083333333332
forest,22114.196825396826,3157.699999999999,23955.301767676774,18551.166666666664
divorce,21968.31679986679,1177.7333333333333,13174.019047619042,18380.666666666664
conspiracy,21929.017460317464,30807.933333333334,25048.733333333334,28491.03333333333
hitman,21657.738095238095,8331.916666666666,8003.173015873018,20314.666666666664
super power,21448.252380952377,73896.79999999999,21399.072893772893,29698.883333333335
sex comedy,21397.39682539684,7955.499999999999,2021.8333333333328,17707.5
wizard,21394.535195360197,44164.79536297038,9143.586839038167,22804.709967809966
appreciative,20574.76065827449,16664.406852358155,24879.71972871731,20178.552054378368
new mexico,20399.9761904762,113.5,5082.333333333335,12130.0
hero,20249.67539682539,84687.76666666668,32422.78953634088,41918.08333333332
budapest,19252.851190476198,11125.733333333332,342.8833333333333,13804.533333333331
mother son relationship,18248.071428571428,16267.033333333333,58800.563736263735,17732.033333333336
flashback,18167.712698412695,6260.033333333332,49067.163203463206,25309.16666666666
musician,17633.726190476194,6698.999999999999,27416.673809523825,17300.500000000004
lawyer,17537.588095238098,18514.1,7886.849999999999,17454.333333333336
family relationships,17467.161904761902,15045.583333333325,70141.15386002889,22077.166666666664
marriage,17462.516666666663,5968.166666666667,12017.904761904761,17145.0
money,17353.56071428571,36706.33333333333,26402.766666666677,26555.0
snow,17262.55277777778,11062.833333333334,5879.690476190475,17668.166666666668
surrealism,17216.785714285714,13120.499999999998,19934.597619047607,11456.166666666666
awestruck,17045.67671166548,42726.23834586468,57962.74939661181,19442.906203007526
explosion,17005.32702020202,15731.09848484849,4811.694480519481,17248.240151515154
father,16987.516666666663,16460.0,15092.216666666667,16844.166666666668
racing,16913.45,8319.133333333331,5696.100000000005,16798.333333333336
compilation,16892.5,1.0,3025.6130952380922,16645.0
naval warfare,16876.97857142856,54.333333333333336,127.16666666666669,6783.666666666667
robbery,16852.33134920635,988.8333333333331,7346.883333333332,12584.666666666668
romance,16768.011904761875,15094.333333333332,71394.91368076365,20677.75
journalism,16725.06904761905,16942.0,3615.0,16736.833333333332
south africa,16593.83333333333,21268.0,1056.6666666666665,16316.0
live action and animation,16566.716049636634,121507.62106643357,12264.416014191484,26713.19948801199
strong woman,16550.066666666666,6198.050000000002,2983.1833333333325,11458.000000000002
military,16539.058766233742,6033.416666666667,14233.25952380953,16516.416666666668
bible,16486.794444444444,11253.333333333336,10842.866666666663,11253.0
prehistory,16430.06984126984,59.5,329.83333333333337,16447.083333333336
affectation,15956.495880508373,8989.635714285716,20306.70423286915,20764.923015873013
father daughter relationship,15765.724603174594,95578.38333333335,168604.82251082276,18486.408333333333
spacecraft,15744.446825396823,12703.883333333333,7528.342712842733,9737.6
thoughtful,15604.051912342042,1240.1863095238093,18800.09989454991,15574.013095238097
1990s,15599.59045121541,316.1666666666667,21651.545238095234,13825.666666666666
world war i,15442.903174603169,58.0,1270.3666666666666,7692.0
fantasy world,15340.379938525526,43510.78773310025,14361.610579494612,29494.88282134532
historical fiction,15316.2619047619,55096.66666666668,29113.978754578748,17426.166666666664
good versus evil,15275.146605192189,81880.95439976695,14903.637489756178,13445.366154678655
shounen,14977.707575757573,52.33333333333333,27362.55952380953,11239.266666666666
drug dealer,14740.273809523815,36555.76666666666,23447.453571428603,13352.566666666666
mother daughter relationship,14636.715512265511,6952.200000000003,42639.14523809523,13173.866666666665
security guard,14518.48333333333,5773.0,3113.166666666667,15668.499999999998
falling in love,14203.543253968239,1593.1666666666665,15068.795238095241,16125.416666666664
best friend,13529.823809523807,47481.16666666666,37018.28333333333,17408.666666666668
competition,13264.18922466423,14406.999999999998,19593.533333333333,13453.199999999999
cautionary,12846.386904761905,11670.166666666668,17820.530627705622,17388.666666666668
sadism,12740.644444444446,20169.202380952385,21100.00833333333,10995.47619047619
inspirational,12703.309913697416,52471.80082442069,50405.257280705155,15280.187518037515
knight,12375.59880952381,5098.0,658.6666666666665,11301.0
corruption,12147.010714285714,1548.5833333333337,28984.07619047619,6285.0
married couple,12005.87619047619,11216.5,3783.249350649346,11784.766666666666
excited,11874.756349206347,89084.1,45182.88834018569,28502.333333333336
sword,11780.585714285713,14062.250000000002,19468.459523809524,12432.083333333334
slavery,11698.034920634922,19258.583333333336,28853.121428571547,11805.166666666668
rivalry,11689.259523809525,23792.5,17667.816666666662,14330.28333333333
killer,11666.421428571428,6611.333333333333,8325.883333333331,5661.666666666666
paranoia,11600.471861471862,8887.166666666668,8887.133333333331,11070.833333333334
adultery,11593.42619047619,5729.75,14572.653571428567,11325.199999999997
teenage girl,11589.2746031746,11745.166666666666,19591.87916666666,10119.441666666668
kaiju,11538.492857142854,2244.633333333333,719.133333333333,11560.366666666683
new love,11499.266666666666,124.83333333333333,4875.25,11324.75
massacre,11450.54329004329,706.3333333333335,7384.953787878796,11351.015151515154
underwater,11406.738095238095,5838.0,1440.7499999999995,11287.166666666668
escape,11405.880591630588,13682.166666666668,18984.616666666658,8781.000000000002
baseball,11398.033333333331,5559.0,845.0,11273.5
psychiatrist,11349.409498834497,5907.999999999999,5466.716666666663,11157.166666666666
motorcycle,11316.109126984127,293.66666666666663,3243.7424242424254,11219.583333333334
pets,11299.720634920635,16138.366666666663,9117.144341769343,21790.533333333336
sea,11270.766666666665,266.5,2411.1666666666665,13029.166666666666
intimate,11256.283297258298,11835.308585858584,8583.384976549272,11237.351010101007
orphan,11236.376190476192,13886.666666666666,15794.833333333327,21925.666666666668
hawaii,11234.449999999997,11265.166666666666,908.1666666666664,11254.5
semi autobiographical,11225.259523809525,11431.666666666664,7987.138690476189,9538.916666666666
bomb,11218.116666666667,10511.333333333334,2065.166666666667,11037.666666666666
prince,11212.599206349207,27695.358333333334,8514.65674603175,15632.55
bounty hunter,11176.408333333333,11194.0,6519.757142857144,11101.333333333332
based on graphic novel,11156.05043290043,40309.0,3461.2537878787875,16453.015151515152
natural disaster,11147.983333333334,7598.833333333334,11693.615079365083,11105.666666666668
thailand,11141.25,5579.0,955.3333333333333,10825.0
incest,11134.670634920627,190.0,22521.1544372295,9460.5
singing,11113.983333333332,59.0,3469.75,11016.5
stop motion,11108.321428571428,151.0,6009.776190476191,5560.571428571428
europe,11102.016666666665,4979.083333333332,2217.1166666666663,11103.583333333332
genius,11089.916666666668,34.0,1551.916666666666,11051.0
bdsm,11068.076190476193,5553.5,867.8333333333334,10695.0
superhuman strength,11067.757575757576,2168.848484848485,86.75757575757575,11065.515151515152
palestinian-israeli conflict,11063.516666666666,5502.0,436.9333333333335,370.1666666666667
sheriff,11019.066666666666,5653.666666666667,2654.5333333333324,8814.0
hostage situation,10779.414285714289,7109.0,1862.8333333333335,10680.5
psychological thriller,10405.214285714317,20637.28333333333,37967.65674603173,10884.75
compassionate,10348.653339569788,26637.034179198,42959.100833380486,12568.544298245612
hacker,10319.53571428569,69.83333333333333,2286.883730158731,5688.333333333333
survival horror,10194.360317460316,1545.7500000000002,6939.7793650793665,16812.0
buddy cop,10090.209523809524,3355.333333333333,5439.316666666666,15647.583333333332
las vegas,10055.499999999998,19455.166666666668,7621.861111111112,10286.666666666666
woods,9929.016666666661,5458.166666666667,15895.60714285714,11182.833333333334
talking animal,9678.81111111111,45.416666666666664,848.5214285714285,8153.166666666666
usa president,9654.513095238093,14849.916666666668,3476.7499999999995,9249.750000000002
ireland,9515.84285714286,75.5,6156.416666666665,5958.5
occult,9388.22622655123,11408.7,4319.584523809524,6605.066666666667
online dating,9325.566666666671,11136.5,228.66666666666666,125.0
morocco,9268.666666666666,16387.0,115.46666666666667,10528.5
robot,9265.236976911978,64503.88333333334,29343.295851370858,14211.766666666666
violence,9184.549603174602,398.16666666666663,12139.58333333333,6492.333333333334
anti hero,8947.869047619046,53993.11666666667,22389.619047619053,15869.616666666665
church,8815.011904761905,394.1666666666667,13940.999999999995,10978.166666666666
betrayal,8741.734242191498,22153.433333333334,26942.227280699346,15851.266666666663
faith,8671.549999999997,30271.166666666664,7152.875740822645,6170.333333333333
canada,8485.316666666666,5588.0,3516.083333333334,5812.5
audacious,8364.745779220779,24953.861904761907,32078.771918767517,18901.611904761903
marijuana,8260.252355977354,1102.5,12540.807142857158,7557.333333333334
sign languages,8260.220677406613,17344.053658879817,37035.669003445146,11028.720325546485
supernatural power,8154.7400793650795,15071.285714285716,4288.559523809521,11063.785714285716
rock 'n' roll,8134.423809523811,91.0,1190.1666666666665,429.0
comforting,7886.849913974917,24749.84285714286,42629.838348263555,18588.499999999996
satire,7817.209523809523,12131.592857142856,24326.061904761904,9142.083333333332
tense,7760.863961038966,2054.7142857142862,11734.085644910647,10594.35476190476
native american,7701.499999999999,5771.2333333333345,2061.2,10693.5
secret society,7559.188095238094,5793.733333333333,1494.263852813853,6212.999999999999
nazi,7554.5666666666675,1296.1666666666667,15233.645634920622,4643.833333333333
saving the world,7513.919047619048,27056.53333333333,7827.742407489312,12062.366666666667
parody,7453.9273809523775,22903.37619047619,6527.411904761903,7382.483333333334
3d animation,7401.270238095244,12972.666666666666,22788.961904761894,7596.666666666668
video game,7311.199747474758,5969.166666666667,6340.15,5144.5
alien invasion,7240.125432900433,48736.24999999999,12298.425793650787,7794.750000000001
mask,7233.62733793984,11404.399675324672,5011.4571363277255,6379.551262626264
horror,7206.9023809523815,5765.4833333333345,2457.1333333333328,6452.516666666666
candid,7184.8488095238135,5625.083333333333,6885.983730158738,6399.499999999998
photographer,7069.411904761904,987.1666666666667,31816.166666666675,7560.333333333334
ambiguous,7005.4486222111245,24683.909523809525,26863.463403916347,6168.559523809525
virus,6968.504071790008,21629.241537667705,3457.565603838788,14904.591537667699
dying and death,6893.318362193363,36958.86161616162,41737.451750923625,6653.037373737374
drug addiction,6799.388492063493,6675.083333333332,11505.15,10610.466666666667
antagonistic,6794.407215007217,11803.083333333332,37541.20740853704,4941.416666666668
greece,6778.933333333333,10925.133333333333,1198.7666666666669,6439.133333333333
medieval,6684.261904761906,17.0,393.24999999999994,4924.5
hotel,6661.178571428576,6278.0,17340.38571428571,6891.333333333333
iran,6557.56964979465,11113.0,350.5,10215.0
beach,6555.042857142856,601.0,16110.74999999999,6165.333333333333
journalist,6484.384523809522,6082.000000000001,10591.371825396816,6182.333333333334
pregnancy,6462.536904761905,6339.916666666666,8800.166666666664,5921.249999999999
exhilarated,6456.979437229437,10671.808333333336,17358.737344350702,6562.958333333335
depression,6377.2468253968245,11496.583333333332,13901.283333333326,5187.75
castle,6363.474299719887,11424.89583333333,10397.28456122338,26772.062500000004
writer,6348.70119047619,295.33333333333337,11372.416666666664,6016.833333333334
racism,6324.600000000001,2571.1666666666665,51610.27380952383,6033.000000000001
werewolf,6317.846151071152,29428.099999999995,9737.630158730157,11424.300000000001
male friendship,6313.210714285714,29093.0,24979.766666666677,13768.5
nightmare,6286.557539682541,1199.1666666666667,6266.916666666668,5867.833333333333
tokyo,6280.983333333334,6129.833333333333,10052.73333333333,10689.166666666666
loving,6266.076677489179,12574.686538706394,37624.61576047121,6154.121645021645
training,6230.18142135642,9808.966666666664,12629.258297258306,6245.333333333332
widow,6205.392857142858,3833.5,5634.583333333333,5871.75
sadness,6161.463095238094,1293.547619047619,9713.992063492065,5755.2380952380945
teacher,6159.9595238095235,15568.5,26287.48571428573,5887.25
lesbian,6150.852355977358,393.6166666666667,11963.759523809511,5760.950000000001
american football,6124.983333333333,120.16666666666667,1668.5,6086.833333333334
texas,6118.5999999999985,11719.0,25623.53888888889,5797.5
biting,6100.286544011544,5194.833333333334,15269.711111111103,5601.666666666667
curse,6085.109523809524,16085.800000000001,11927.963095238096,6282.566666666667
undercover,6081.083333333332,2936.983333333332,6269.392857142865,5938.766666666666
based on short story,6072.626587301588,653.1666666666667,18914.6976911977,5810.066666666667
teenage boy,6072.374206349206,6392.916666666667,16186.28690476191,15917.833333333334
ninja,6071.333333333333,10.666666666666666,771.5833333333333,5854.5
1950s,6070.844047619047,10254.316666666668,19158.200000000008,5941.650000000001
army,6049.440476190476,21668.83333333333,25072.49663792089,5913.333333333331
first love,6032.801984126986,333.75,15480.086904761898,5513.666666666667
enthusiastic,6026.431401420217,19494.469298245614,12097.493606655642,6101.371679197994
exorcism,6025.7333333333345,11315.166666666668,3919.7428571428572,1851.166666666667
japanese high school,6020.540909090909,9829.666666666666,5255.989682539682,5376.349999999999
alcoholism,6015.131349206348,6338.5,23418.19567099568,8693.083333333338
war crimes,6006.42261904762,151.0,3839.3333333333335,5608.499999999999
possession,5995.500000000001,6346.25,3434.1666666666656,5928.916666666666
demonic possession,5994.916666666668,100.66666666666666,486.55000000000007,10095.5
apocalypse,5987.939826839828,5028.95,3238.116666666665,11268.25
gunfight,5976.8190476190475,5702.5,7116.750000000001,7912.5
group of friends,5967.134523809525,768.6666666666667,3190.5000000000005,4431.583333333333
death of father,5955.535714285714,540.5,20539.49523809523,5731.5
singer,5943.104761904763,445.0,9150.533333333335,5718.833333333333
android,5930.7591991342,606.2,4491.7388888888845,5953.999999999999
brother brother relationship,5924.859523809525,535.0833333333334,9784.43333333333,5888.5
provocative,5924.660389610389,11771.649579831934,6185.919481172423,11057.90476190476
secret agent,5916.899080086582,11200.450000000003,4970.779256854257,8712.300000000001
dancing,5913.1199134199105,1358.916666666667,9474.250000000002,5957.333333333332
ominous,5896.196428571428,1503.0,4888.5,5830.5
politics,5889.809523809525,97.5,5352.849999999999,5770.666666666666
boyfriend girlfriend relationship,5880.67619047619,567.8333333333333,8313.533333333333,5719.666666666667
ex-girlfriend,5868.966666666665,14659.5,3403.4666666666667,5552.916666666666
struggle for survival,5865.216666666667,5791.333333333333,6985.333333333332,5661.666666666666
home invasion,5851.236147186147,188.0,5367.683333333334,5628.166666666667
author,5843.342857142858,5365.0,12534.610714285707,5609.0
mountain,5842.6170995671,29699.969696969692,5456.501221394931,5866.162337662337
doctor,5835.248015873018,8785.0,7802.0999999999985,10761.249999999998
sexuality,5830.736904761906,30.166666666666664,6556.166666666668,5491.333333333333
cat,5822.833333333333,571.1666666666666,17721.16666666666,5606.666666666666
halloween,5790.083333333334,674.3333333333334,3483.95,5750.166666666667
ship,5777.416666666666,12801.33333333333,9754.716666666667,10979.166666666666
ironic,5772.0166666666655,30.0,610.0000000000001,5466.0
vacation,5768.528571428572,156.0,2092.091666666667,5642.0
mercenary,5762.309523809527,5177.0,2689.166666666667,5778.5
haunting,5757.866666666667,5606.0,334.8333333333333,5748.25
based on memoir or autobiography,5754.500000000001,138.0,16722.95833333334,10661.0
suicide attempt,5744.376190476189,204.5,19304.97142857144,5563.5
divorcee,5743.886111111112,3902.6000000000017,779.8000000000001,5739.133333333332
fame,5739.659523809523,2921.25,7678.488095238093,9277.25
factual,5736.364285714286,226.16666666666666,5910.983333333331,5608.5
on the run,5731.752380952379,17473.566666666666,5385.640476190478,5803.666666666666
witty,5729.680952380953,3127.635714285714,20035.19328535583,5801.826190476191
mafia,5725.450000000001,145.91666666666666,5625.439285714288,5684.416666666666
manipulation,5723.625432900431,2216.3,27085.819108669108,5605.833333333333
boarding school,5718.184523809525,17707.10606060606,6408.839466089464,5633.25
winter,5716.821825396825,266.66666666666663,5825.26666666667,5590.5
